Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,Magnitude,Sentiment
1214,Now And Forever,Carole King,adult standards,2005,80,49,45,-9,71,37,198,95,7,12,2.799999952,0.300000012
1215,"Believe In Humanity (Live In Central Park, NYC)",Carole King,adult standards,1968,99,58,47,-9,99,64,275,70,3,12,0,0
1216,Corazon,Carole King,adult standards,1968,127,54,75,-13,5,92,237,7,4,12,1.600000024,0.800000012
1217,Walkin' Bass,Henry Mancini,adult standards,1959,114,17,73,-16,11,25,264,65,4,11,0,0
1218,The Man With The Bag,Jane Monheit,adult standards,2006,91,46,64,-9,24,82,122,77,10,11,4.5,0.100000001
1219,There's A Space Between Us,Carole King,adult standards,1968,83,39,50,-12,5,61,203,70,3,11,2.200000048,0.200000003
1220,Wrap Around Joy,Carole King,adult standards,1968,200,67,43,-10,42,97,179,20,3,11,3.200000048,0.5
1221,Brick House,Commodores,adult standards,2013,108,75,85,-8,7,60,210,2,7,11,2.700000048,0
1223,Loving You Forever,Carole King,adult standards,2005,84,27,44,-8,70,21,212,77,3,10,3.799999952,0.600000024
1225,Alligators All Around,Carole King,adult standards,1968,79,37,59,-11,34,52,115,18,3,10,1.399999976,0
1226,Really Rosie,Carole King,adult standards,1968,119,31,63,-13,9,58,111,9,3,10,4.5,0.100000001
1227,Ain't No Mountain High Enough,Diana Ross,adult standards,2013,97,74,32,-7,27,54,380,43,4,10,5.300000191,0.100000001
1229,(You Make Me Feel Like A) Natural Woman,Carole King,adult standards,2005,81,30,51,-7,44,27,239,94,3,9,4.199999809,0.400000006
1232,Medley,Carole King,adult standards,2005,76,37,39,-7,95,31,520,91,3,9,7.300000191,0.300000012
1234,Love Makes The World,Carole King,adult standards,2005,178,38,39,-9,69,56,263,95,5,9,5.300000191,0.5
1235,Welcome To My Living Room,Carole King,adult standards,2005,84,53,35,-10,98,56,118,92,29,9,2.400000095,0.300000012
1236,Reach Out And Touch (Somebody's Hand),Diana Ross,adult standards,2013,134,69,53,-6,14,61,185,61,3,9,1.899999976,0.100000001
1237,Pleasant Valley Sunday,Carole King,adult standards,2005,84,69,45,-5,99,26,225,70,4,8,3.900000095,0.5
1240,Wishful Thinking,Carole King,adult standards,2005,98,20,39,-11,70,18,252,97,3,8,1.600000024,-0.400000006
1241,Lay Down My Life,Carole King,adult standards,2005,169,37,45,-9,70,38,260,96,11,8,0.699999988,0
1242,Peace In The Valley,Carole King,adult standards,2005,110,34,55,-9,71,72,222,97,5,8,3.900000095,0.200000003
1243,Bugle Call Rag,Benny Goodman,adult standards,2011,119,66,74,-10,8,91,200,68,9,8,0.899999976,0.400000006
1244,Sweet Little You,Benny Goodman,adult standards,2011,177,41,61,-11,8,89,152,68,7,8,2.099999905,0.100000001
1246,Being At War With Each Other,Carole King,adult standards,2005,77,31,44,-8,97,20,245,93,3,7,1.600000024,-0.200000003
1247,All Night Long (All Night),Lionel Richie,adult standards,2013,109,62,72,-12,4,76,385,11,4,6,8.5,0.300000012
1248,Remember Me,Diana Ross,adult standards,2013,113,58,70,-5,9,40,222,14,3,5,8.199999809,0.200000003
1249,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,adult standards,2018,104,59,73,-10,4,96,201,6,3,0,0,0
1250,Beautiful (feat. Camila Cabello),Bazzi,dance pop,2018,100,72,64,-5,11,25,180,35,3,92,4.900000095,0.300000012
1251,This Feeling,The Chainsmokers,edm,2018,105,57,57,-8,9,45,198,6,4,91,4.900000095,-0.100000001
1252,Woman Like Me (feat. Nicki Minaj),Little Mix,dance pop,2018,150,85,76,-3,9,83,228,17,5,89,3.400000095,0
1253,The Middle,Zedd,complextro,2018,107,66,75,-3,11,44,185,17,4,89,7.199999809,-0.200000003
1254,Happy Now,Zedd,complextro,2018,88,74,50,-5,7,46,207,58,5,89,3.700000048,0
1255,IDGAF,Dua Lipa,dance pop,2017,97,54,84,-6,8,51,218,4,9,87,6.400000095,-0.300000012
1256,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,dance pop,2017,154,78,64,-6,8,58,164,5,9,86,4.599999905,0
1257,Lost In Japan,Shawn Mendes,canadian pop,2018,107,85,69,-5,33,38,201,9,26,85,2.700000048,0
1258,Starboy,The Weeknd,canadian pop,2016,186,59,68,-7,14,49,230,14,28,85,1.299999952,0
1259,Thinking Out Loud,Ed Sheeran,pop,2014,79,45,78,-6,18,59,282,47,3,85,5.300000191,0.5
1260,I'm Yours,Jason Mraz,acoustic pop,2008,151,46,69,-8,11,72,242,60,5,85,2.700000048,0.200000003
1261,New Light,John Mayer,neo mellow,2018,124,69,83,-8,8,85,216,33,3,84,6.199999809,0.400000006
1262,Polaroid,Jonas Blue,dance pop,2018,114,90,65,-4,7,48,193,29,4,84,5.699999809,-0.400000006
1263,2002,Anne-Marie,dance pop,2018,96,68,70,-3,14,60,187,4,12,84,4.599999905,0.300000012
1264,Something Just Like This,The Chainsmokers,edm,2017,103,64,62,-7,16,45,247,5,3,83,6.699999809,0.100000001
1265,Playinwitme (feat. Kehlani),KYLE,hip hop,2018,157,58,69,-6,30,68,192,34,12,83,7.5,-0.100000001
1266,I'm Not The Only One,Sam Smith,pop,2014,82,49,68,-6,8,49,239,53,4,83,3.400000095,-0.300000012
1267,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,83,4.400000095,0
1268,ocean eyes,Billie Eilish,dance pop,2017,145,36,51,-8,8,17,200,82,4,83,1.299999952,-0.200000003
1269,Castle on the Hill,Ed Sheeran,pop,2017,135,83,46,-5,14,47,261,2,10,82,2.700000048,0
1270,Just Got Paid,Sigala,dance pop,2018,120,92,73,-2,15,59,218,3,10,82,3.299999952,0
1271,1950,King Princess,dance pop,2018,72,54,60,-7,16,27,225,65,11,82,6.900000095,0
1273,Work from Home,Fifth Harmony,dance pop,2016,105,59,80,-6,6,59,214,10,4,81,3.099999905,0
1274,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,dance pop,1987,119,82,71,-9,9,87,291,21,5,81,6.400000095,0.300000012
1275,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,dance pop,2018,144,76,57,-5,40,49,183,10,6,81,3,0
1277,FourFiveSeconds,Rihanna,dance pop,2015,206,27,58,-6,12,33,188,88,4,81,3.599999905,-0.200000003
1278,Capital Letters,Hailee Steinfeld,dance pop,2018,100,81,66,-6,5,46,219,3,8,80,6.5,-0.100000001
1279,If I Ain't Got You,Alicia Keys,hip pop,2003,118,45,61,-9,10,17,229,60,11,80,2.700000048,-0.400000006
1280,Shout Out to My Ex,Little Mix,dance pop,2017,126,75,77,-4,11,80,246,2,9,80,4.5,0.400000006
1281,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,80,2.400000095,0.100000001
1282,No Scrubs,TLC,dance pop,1999,93,68,74,-4,7,59,214,3,10,80,5.800000191,-0.5
1284,If You're Over Me,Years & Years,dance pop,2018,104,85,65,-5,6,62,189,6,9,79,4.5,-0.300000012
1285,Sugar,Maroon 5,pop,2015,120,79,75,-7,9,88,235,6,3,79,5.800000191,0
1286,Royals,Lorde,art pop,2013,85,43,62,-10,13,30,190,11,13,79,5.300000191,0.200000003
1287,"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,79,3.799999952,0.400000006
1288,Lay Me Down,Sam Smith,pop,2015,125,19,47,-11,11,33,220,92,4,78,1.5,-0.100000001
1290,My Way,Calvin Harris,edm,2016,120,91,82,-3,16,54,219,9,4,78,1.899999976,0.200000003
1291,Drops of Jupiter,Train,neo mellow,2001,79,64,47,-6,15,50,260,15,3,78,7.5,-0.100000001
1292,No One Compares To You,Jack & Jack,dance pop,2018,112,75,70,-6,6,63,184,12,4,77,3.5,0.100000001
1293,Good Old Days (feat. Kesha),Macklemore,pop rap,2017,123,51,71,-8,11,27,241,45,6,77,6.300000191,0.5
1294,Hooked,Why Don't We,boy band,2018,180,62,62,-5,12,35,205,9,6,77,7.599999905,0.200000003
1295,The A Team,Ed Sheeran,pop,2011,85,29,64,-10,18,41,258,67,4,77,6.400000095,-0.699999988
1296,Your Body Is a Wonderland,John Mayer,neo mellow,2001,94,73,65,-6,13,69,250,2,2,77,5.099999905,0.5
1297,We Can't Stop,Miley Cyrus,dance pop,2013,80,62,61,-6,37,48,231,1,3,77,11.80000019,0.100000001
1298,Love Song,Sara Bareilles,acoustic pop,2007,123,79,58,-3,19,57,259,2,3,76,3.099999905,-0.200000003
1299,September Song,JP Cooper,dance pop,2017,96,62,61,-7,9,37,220,5,4,76,4.5,0
1300,NO EXCUSES,Meghan Trainor,dance pop,2018,115,66,83,-4,4,52,153,2,5,76,5.300000191,0
1301,Quarter Past Midnight,Bastille,metropopolis,2018,155,82,50,-3,4,46,202,28,6,76,3.099999905,0
1302,It's Not Living (If It's Not With You),The 1975,modern alternative rock,2018,121,82,62,-5,6,56,248,0,3,76,3.400000095,-0.300000012
1303,Best Day Of My Life,American Authors,brooklyn indie,2014,100,90,67,-2,6,52,194,6,3,76,6.199999809,0
1304,Earned It (Fifty Shades Of Grey),The Weeknd,canadian pop,2014,120,38,66,-6,10,44,252,39,3,76,0,0
1305,Black Magic,Little Mix,dance pop,2015,112,90,78,-4,32,83,212,3,6,76,5.599999905,0.400000006
1306,Love On Top,Beyoncé,dance pop,2011,94,75,65,-5,60,65,267,8,9,76,12.60000038,0.600000024
1307,Want to Want Me,Jason Derulo,dance pop,2015,114,68,78,-6,11,66,208,1,6,76,3.900000095,-0.200000003
1308,Treasure,Bruno Mars,pop,2012,116,69,87,-5,32,94,179,4,4,76,6,0.600000024
1309,Get Lucky (feat. Pharrell Williams & Nile Rodgers),Daft Punk,electro,2013,116,81,79,-9,10,86,248,4,4,76,5.199999809,0.100000001
1310,Roar,Katy Perry,dance pop,2013,180,77,55,-5,35,46,224,0,4,76,3.299999952,0
1311,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150,63,34,-7,7,35,241,16,4,75,4.900000095,0.200000003
1312,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,-6,10,70,238,1,7,75,0,0
1313,Feel So Close,Calvin Harris,edm,2012,128,92,71,-3,20,92,206,0,3,74,2.200000048,0.400000006
1314,Classic,MKTO,australian pop,2012,102,79,72,-5,16,76,175,4,12,74,5.900000095,0.400000006
1315,Happy,Pharrell Williams,dance pop,2013,160,76,65,-7,9,96,233,29,15,74,6.800000191,0
1316,Love Never Felt so Good,Michael Jackson,pop,2014,118,72,78,-6,7,71,246,13,4,73,3.799999952,0.300000012
1317,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2014,121,59,80,-7,19,55,228,16,4,73,2.799999952,-0.100000001
1318,Me Too,Meghan Trainor,dance pop,2017,124,69,93,-6,48,84,181,10,10,73,2.700000048,0.100000001
1319,Still New York,MAX,dance pop,2018,99,68,66,-6,37,35,225,23,4,72,2.5,0.100000001
1320,A Good Night,John Legend,neo soul,2018,110,71,53,-6,11,70,203,10,20,72,5.099999905,0.100000001
1321,TOOTIMETOOTIMETOOTIME,The 1975,modern alternative rock,2018,115,83,66,-6,9,48,209,17,6,72,3.5,0
1322,Partition,Beyoncé,dance pop,2014,186,44,41,-12,31,17,319,3,29,72,10.10000038,0
1323,Stitches,Shawn Mendes,canadian pop,2015,150,75,75,-7,5,76,207,2,7,72,5.099999905,-0.100000001
1324,Get Lucky,Daft Punk,electro,2013,116,79,81,-9,7,86,370,4,4,72,5.5,0.300000012
1325,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,163,70,63,-6,11,50,215,1,15,71,0,0
1327,Feels,Calvin Harris,edm,2017,101,75,89,-3,9,87,223,6,6,71,6.599999905,0.200000003
1328,Killer Queen,5 Seconds of Summer,boy band,2018,171,79,26,-5,33,49,199,0,12,71,6.5,0.400000006
1329,How Far I'll Go,Alessia Cara,dance pop,2016,181,56,32,-10,7,13,176,12,40,71,2.599999905,0
1330,Mess Is Mine,Vance Joy,indie folk,2014,108,72,60,-8,10,27,224,5,3,71,4,-0.100000001
1331,Shake It Off,Taylor Swift,dance pop,2014,160,79,65,-5,15,94,219,6,17,71,4.900000095,0
1332,Single Ladies (Put a Ring on It),Beyoncé,dance pop,2008,193,58,43,-5,19,27,193,4,30,71,3.099999905,0
1333,123,Jess Glynne,dance pop,2018,95,67,71,-6,12,93,190,9,18,70,10.19999981,0.100000001
1334,Sunday Morning,Maroon 5,pop,2002,88,76,61,-5,6,81,245,7,5,70,2,0.200000003
1336,The Lazy Song,Bruno Mars,pop,2010,175,80,74,-4,28,95,190,33,6,70,6.5,-0.200000003
1337,Black or White,Michael Jackson,pop,2005,115,89,74,-4,9,96,203,8,5,70,10.5,0
1338,Play That Song,Train,neo mellow,2017,99,83,39,-2,10,48,243,2,5,69,7,0.300000012
1339,Drive By,Train,neo mellow,2012,122,84,77,-3,8,72,196,0,3,69,5.800000191,0
1340,Michael Jackson x Mark Ronson: Diamonds are Invincible,Michael Jackson,pop,2018,117,83,67,-2,24,55,300,34,34,69,0,0
1341,Middle Finger,Phoebe Ryan,dance pop,2018,100,66,70,-3,11,53,242,14,5,69,6.5,-0.100000001
1342,Try Everything,Shakira,colombian pop,2016,115,61,71,-5,8,48,197,3,3,69,5.400000095,-0.200000003
1343,"Honey, I'm Good.",Andy Grammer,dance pop,2014,122,78,75,-7,35,60,199,3,5,69,3.400000095,-0.200000003
1344,No Control,One Direction,boy band,2014,143,92,56,-3,3,85,200,3,8,67,3.599999905,-0.5
1345,Once In a While,Timeflies,dance pop,2016,105,69,79,-6,62,35,215,1,14,67,6,0.100000001
1346,Hold My Hand,Jess Glynne,dance pop,2015,123,82,64,-6,8,43,227,0,3,67,6.199999809,-0.300000012
1347,Remember Me (Dúo),Miguel,dance pop,2017,85,55,61,-7,50,62,164,43,4,67,3.900000095,0.400000006
1348,The Greatest,Sia,australian dance,2016,192,79,64,-6,5,69,211,2,17,67,8.199999809,0.200000003
1349,Obsession (feat. Jon Bellion),Vice,chicano rap,2017,102,56,74,-8,21,47,222,1,3,67,4,0.100000001
1350,Shivers,Rachel Platten,dance pop,2017,113,72,84,-3,5,39,175,9,8,66,3.599999905,0.5
1351,Overwhelming,Jon Bellion,pop,2016,92,63,73,-5,12,68,173,27,29,66,4.099999905,0.400000006
1352,Inside Out,Camila Cabello,dance pop,2018,94,70,74,-5,8,66,183,43,9,65,5.099999905,0.5
1353,If I Ain’t Got You,James Bay,neo mellow,2015,87,18,56,-10,71,31,261,75,17,65,5.199999809,-0.100000001
1354,They Don't Know,Ariana Grande,dance pop,2016,98,71,67,-7,14,71,197,0,28,65,2.299999952,0.100000001
1355,"Baby, You Make Me Crazy",Sam Smith,pop,2017,170,65,52,-8,17,54,208,1,9,65,5.300000191,0
1356,Free Free Free,Pitbull,dance pop,2018,123,95,71,-5,11,53,234,0,13,64,4.900000095,0.300000012
1357,Don't Kill My Vibe,Sigrid,dance pop,2017,150,76,54,-5,35,30,184,26,12,64,8.800000191,-0.400000006
1358,Freedom,Pharrell Williams,dance pop,2015,86,56,43,-6,14,61,162,40,7,64,5.5,0.100000001
1359,Broken,Beyoncé,dance pop,2008,82,42,34,-7,27,16,278,50,4,64,0,0
1363,Hair Up,Justin Timberlake,dance pop,2016,150,58,69,-8,9,34,178,1,5,64,2.5,0.100000001
1364,Fun (feat. Chris Brown),Pitbull,dance pop,2014,114,77,79,-4,19,55,202,16,5,63,7.400000095,0
1365,Cheap Thrills,Sia,australian dance,2016,90,79,59,-5,13,76,224,6,20,63,5.400000095,0.400000006
1367,So Good (feat. Ty Dolla $ign),Zara Larsson,dance pop,2017,82,58,73,-7,5,78,167,9,15,62,4.300000191,0.100000001
1368,ID,Kygo,edm,2015,105,68,69,-8,10,34,290,62,4,62,0.100000001,0.100000001
1369,TREAT MYSELF,Meghan Trainor,dance pop,2018,108,68,69,-5,76,69,174,0,5,61,7.5,0.400000006
1370,One Chance To Dance,Naughty Boy,dance pop,2017,104,79,60,-3,9,37,204,10,3,61,1.700000048,0
1372,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,146,18,40,-9,32,32,171,95,4,61,0.400000006,0.400000006
1373,Mercy,Duffy,dance pop,2008,130,85,79,-4,13,97,220,29,3,61,10.60000038,0
1374,What U Workin' With?,Gwen Stefani,dance pop,2016,104,63,75,-8,13,71,192,1,14,60,10.69999981,0
1376,You've Got a Friend in Me,Jordan Fisher,post-teen pop,2018,114,26,76,-10,26,56,129,74,4,60,2.599999905,0.400000006
1377,You Gotta Not,Little Mix,dance pop,2017,90,81,61,-5,4,39,191,1,4,60,11.10000038,0
1378,Fresh Eyes,Andy Grammer,dance pop,2016,122,54,82,-7,14,86,198,56,3,59,5.900000095,0.5
1379,Broken Glass,Rachel Platten,dance pop,2017,92,75,68,-4,46,34,180,16,8,58,4.699999809,0
1380,Cheerleader,OMI,dance pop,2015,118,66,78,-6,17,61,182,15,3,58,4.5,0.100000001
1381,Rainbow Connection,Sleeping At Last,acoustic pop,2016,107,18,51,-10,33,27,193,97,4,58,5,0.200000003
1382,Valerie,Mark Ronson,dance pop,2007,106,84,70,-5,12,89,219,0,5,57,6.900000095,-0.200000003
1383,She Sets The City On Fire,Gavin DeGraw,acoustic pop,2016,126,62,62,-7,9,56,219,1,6,57,1.600000024,-0.100000001
1384,Just Dance,Lady Gaga,dance pop,2009,119,73,82,-4,19,68,242,3,3,57,9.199999809,0
1386,Red Dress,MAGIC!,pop,2016,136,79,65,-4,25,79,201,9,3,56,5.300000191,0.600000024
1387,The Way You Make Me Feel,Michael Jackson,pop,2005,172,81,74,-6,10,50,266,5,18,56,6.800000191,0.100000001
1388,Kid In Love,Shawn Mendes,canadian pop,2015,85,60,63,-7,15,37,226,3,3,55,2.200000048,0.100000001
1390,Love Someone,Jason Mraz,acoustic pop,2014,98,36,58,-14,11,8,257,31,3,55,3.900000095,0.300000012
1391,Mirrors,Justin Timberlake,dance pop,2013,76,51,34,-7,8,53,485,24,7,55,3.900000095,0.100000001
1392,Wrapped Up,Olly Murs,dance pop,2014,122,85,79,-5,10,93,186,9,5,54,4.699999809,0.300000012
1393,Dancing On My Own,Robyn,dance pop,2010,117,87,68,-5,10,26,286,7,3,54,4,0
1394,Rockin' Robin,Michael Jackson,pop,1972,173,71,63,-8,28,97,155,25,14,54,4.400000095,0.300000012
1396,Raise Your Glass,P!nk,dance pop,2010,122,70,70,-5,3,63,203,1,9,52,8.199999809,-0.400000006
1397,Applause,Lady Gaga,dance pop,2013,140,79,66,-4,10,70,212,3,5,52,8.699999809,0.400000006
1398,"Baby, It's Cold Outside (feat. Meghan Trainor)",Brett Eldredge,canadian contemporary country,2016,114,57,58,-5,27,68,174,74,4,51,3,0
1399,Exhale,Whitney Houston,dance pop,2000,138,43,66,-8,16,9,202,43,3,51,2.200000048,0.100000001
1401,Have Yourself a Merry Little Christmas,Christina Aguilera,dance pop,2000,69,27,24,-10,9,16,243,87,4,49,2.700000048,0.400000006
1402,You Must Love Me,Lana Del Rey,pop,2018,144,18,32,-13,11,9,163,94,4,49,3.900000095,0
1404,I See Fire,Ed Sheeran,pop,2014,167,33,38,-6,72,48,286,74,4,48,4.099999905,0.200000003
1406,A Song For You,Whitney Houston,dance pop,2009,120,67,54,-6,27,11,251,17,5,46,3.299999952,0.200000003
1409,Anything,Frank Pole,deep tropical house,2016,122,87,48,-5,11,33,222,3,27,41,6.800000191,-0.300000012
1410,Best Song Ever,One Direction,boy band,2013,118,88,65,-3,7,56,202,3,5,41,6,0.200000003
1413,New York State of Mind,MAX,dance pop,2014,85,48,60,-10,14,18,161,38,6,36,0,0
1415,Little of Your Love,HAIM,dance pop,2018,113,71,61,-9,71,68,213,12,5,34,6.199999809,0.400000006
1419,Another Suitcase In Another Hall,Madonna,dance pop,2018,127,30,40,-11,12,22,213,85,3,15,0,0
1420,Africa,Toto,album rock,1982,93,37,67,-18,5,73,296,26,3,85,2.400000095,0.400000006
1422,Mr. Blue Sky,Electric Light Orchestra,album rock,1977,178,34,39,-10,25,48,303,65,3,80,5.900000095,0
1423,"Take Me Home, Country Roads",John Denver,folk,1997,164,43,26,-13,19,55,198,55,3,79,3.299999952,0.400000006
1424,Dreams,Fleetwood Mac,album rock,1977,120,49,83,-10,13,79,258,6,3,79,3.599999905,0.300000012
1425,Brown Eyed Girl,Van Morrison,classic rock,1967,151,58,49,-11,41,91,183,18,4,79,3.799999952,0.300000012
1426,You Make My Dreams,Daryl Hall & John Oates,album rock,1980,167,50,75,-12,5,90,191,23,6,78,0,0
1427,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,glam rock,1972,137,52,60,-9,9,36,282,39,3,78,5.900000095,-0.100000001
1428,Stayin' Alive,Bee Gees,disco,1990,104,57,71,-16,15,96,282,7,4,77,3.599999905,0.100000001
1429,Uptown Girl,Billy Joel,album rock,1983,129,94,70,-3,60,79,198,7,5,77,4.900000095,0.400000006
1430,Imagine,John Lennon,album rock,1971,76,26,55,-12,9,17,188,91,3,76,1.299999952,-0.100000001
1431,Landslide,Fleetwood Mac,album rock,1975,159,16,41,-22,12,42,199,88,3,76,3.5,0.400000006
1432,You Can't Hurry Love,Phil Collins,mellow gold,1982,98,94,62,-5,7,76,176,3,3,76,2.700000048,0.200000003
1433,Tiny Dancer,Elton John,glam rock,1971,145,43,41,-11,15,28,377,38,3,76,3.299999952,0.100000001
1435,You Can Call Me Al,Paul Simon,folk,1986,128,76,78,-8,8,82,280,18,5,74,3.799999952,-0.200000003
1436,Footloose,Kenny Loggins,album rock,1984,174,91,58,-6,6,65,227,10,7,72,1.5,-0.100000001
1437,I'm a Believer,The Monkees,brill building pop,1967,80,78,53,-6,22,96,167,71,4,72,5.5,0.100000001
1438,Don't Stop Believin',Journey,album rock,2010,119,78,50,-8,40,47,248,25,4,71,1.600000024,0.100000001
1439,You'll Be In My Heart,Phil Collins,mellow gold,1999,97,75,57,-7,10,63,258,5,3,71,8.899999619,0.100000001
1440,Rich Girl,Daryl Hall & John Oates,album rock,2005,168,64,60,-6,4,82,144,50,13,71,0,0
1443,Me and Julio Down by the Schoolyard,Paul Simon,folk,1972,105,82,63,-11,10,80,165,24,13,70,1.5,-0.100000001
1444,Piano Man,Billy Joel,album rock,1973,179,48,33,-9,31,41,336,62,3,70,7.300000191,0.200000003
1448,Night Moves,Bob Seger,album rock,1976,119,74,71,-7,10,37,324,43,4,69,4,0
1449,Jessie's Girl,Rick Springfield,album rock,1999,132,71,69,-8,9,84,193,8,4,69,3.299999952,0.100000001
1450,What I Like About You,The Romantics,album rock,1990,160,92,54,-10,17,92,175,32,5,69,4.599999905,0.100000001
1451,Girls Just Want to Have Fun,Cyndi Lauper,dance pop,2014,120,79,71,-5,31,75,238,21,3,68,16,0
1452,Don't Go Breaking My Heart,Elton John,glam rock,2017,131,93,72,-5,9,80,266,16,4,67,3.599999905,-0.400000006
1453,Strangers Like Me,Phil Collins,mellow gold,1999,120,80,67,-7,12,56,181,12,4,67,5,0.200000003
1456,Dirty Work,Steely Dan,album rock,1972,73,35,63,-11,9,52,189,80,3,65,4.099999905,-0.200000003
1457,Bennie And The Jets,Elton John,glam rock,1973,133,67,67,-8,50,78,323,26,5,64,3,0.200000003
1459,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,brill building pop,2008,127,71,69,-5,6,96,164,20,3,63,1.100000024,-0.300000012
1461,Happy Xmas (War Is Over),John Lennon,album rock,2010,147,61,33,-11,77,40,214,32,3,63,4.699999809,0.5
1463,Cecilia,Simon & Garfunkel,folk,1972,105,85,68,-10,9,97,170,41,4,62,1.600000024,0.200000003
1464,The Best,Tina Turner,disco,2004,104,87,65,-5,10,73,330,10,3,61,8.699999809,0.300000012
1467,Higher Love,Steve Winwood,album rock,2006,99,91,71,-6,50,94,256,7,4,60,6.699999809,0
1469,"If You Want To Sing Out, Sing Out",Yusuf / Cat Stevens,british folk,2003,133,29,64,-13,11,89,167,55,4,57,0,0
1472,You've Got A Friend In Me,Lyle Lovett,alternative country,2003,107,38,69,-11,15,34,159,64,3,50,6.5,0
1474,How Deep Is Your Love,Bee Gees,disco,2017,105,36,62,-10,16,68,245,21,3,48,6,0.5
1495,I'm So Excited,The Pointer Sisters,dance rock,2014,182,72,59,-9,11,92,233,11,4,30,0,0
1551,Baby I Need Your Loving,Four Tops,brill building pop,2013,121,69,65,-5,17,75,167,47,3,12,7.400000095,0.200000003
1580,Feeling Good,Nina Simone,jazz blues,1965,79,33,32,-9,19,54,174,85,5,73,6.699999809,0.699999988
1584,Blue in Green,Miles Davis,bebop,1959,111,2,42,-25,10,16,338,81,4,68,0.100000001,0.100000001
1586,My Baby Just Cares for Me,Nina Simone,jazz blues,1958,119,24,75,-15,9,43,216,83,12,65,0.699999988,-0.100000001
1591,I Guess I'll Hang My Tears Out To Dry,Dexter Gordon,bebop,1962,121,22,52,-9,5,33,322,91,3,62,0.100000001,0.100000001
1592,Gary's Theme,Bill Evans,bebop,1977,122,8,42,-22,14,5,258,91,4,62,0.100000001,0.100000001
1596,Peace Piece,Bill Evans,bebop,1959,133,3,46,-20,8,7,404,99,5,61,0,0
1599,So What,Miles Davis,bebop,1959,136,15,52,-17,12,21,563,71,4,60,0.100000001,0.100000001
1600,God Bless the Child,Sonny Rollins,bebop,2005,103,7,48,-17,8,14,445,92,3,60,1.799999952,0.400000006
1604,Skating In Central Park,Bill Evans,bebop,1962,124,3,48,-25,11,15,324,99,5,59,0,0
1607,'Round Midnight,Thelonious Monk,bebop,1951,117,32,54,-10,6,21,194,91,4,58,0.100000001,0.100000001
1608,You Go To My Head,Art Pepper,bebop,1988,65,9,57,-16,11,30,258,98,9,58,3.599999905,0.400000006
1609,Moanin',Art Blakey & The Jazz Messengers,avant-garde jazz,1989,126,23,61,-19,13,45,576,83,6,58,0.100000001,0.100000001
1612,I Hear A Rhapsody,Bill Evans,bebop,1962,173,4,38,-26,13,12,280,100,4,57,0.300000012,0.300000012
1614,Pretty Ballad,Keith Jarrett,bebop,1994,107,6,40,-26,70,17,210,86,4,56,0,0
1616,Infant Eyes,Wayne Shorter,avant-garde jazz,1999,139,8,34,-12,9,12,414,99,4,56,0.100000001,0.100000001
1618,Emily,Paul Desmond,bebop,1968,62,2,38,-27,11,15,287,99,4,55,2.5,0.800000012
1619,Lucky To Be Me,Bill Evans,bebop,1959,101,2,48,-23,9,12,221,99,6,55,4.199999809,0.5
1620,Interlude No. 3,Keith Jarrett,bebop,1971,108,0,51,-25,11,26,78,99,20,55,0,0
1622,Freddie Freeloader,Miles Davis,bebop,1959,128,19,64,-16,12,50,586,70,3,55,0.100000001,0.100000001
1624,My Foolish Heart,Bill Evans Trio,bebop,2005,115,13,39,-23,62,13,298,92,3,54,0,0
1626,Virgo,Wayne Shorter,avant-garde jazz,2005,107,13,45,-14,11,18,427,97,4,53,0.100000001,0.100000001
1627,Our Song,Art Pepper,bebop,1991,115,29,35,-12,19,17,332,76,4,53,0,0
1636,Almost Like Being In Love,Red Garland,bebop,1957,94,35,57,-13,10,69,290,87,4,51,1.399999976,0.200000003
1638,Stella By Starlight,Miles Davis,bebop,1959,86,14,49,-13,10,25,285,91,4,51,1.299999952,0.400000006
1644,Bossa Antigua,Paul Desmond,bebop,1997,97,29,51,-18,8,57,283,93,6,48,0,0
1651,Watermelon Man,Herbie Hancock,bebop,1962,129,53,61,-9,18,60,429,73,3,45,0.100000001,0.100000001
1653,Dolphin Dance,Herbie Hancock,bebop,1965,120,37,46,-11,13,30,556,83,3,45,0.100000001,0.100000001
